Date,Open,High,Low,Close,Adj Close,Volume
6/18/2013,27.735001,28.25,27.415001,28.139999,25.305216,935200
6/19/2013,28.049999,28.155001,27.405001,27.415001,24.653252,1351000
6/20/2013,27.17,27.17,26.575001,26.780001,24.082216,1327400
6/21/2013,26.955,26.965,25.48,26.075001,23.448235,2769200
6/24/2013,25.52,25.745001,25.155001,25.48,22.913181,1728800
6/25/2013,25.674999,25.855,25.43,25.594999,23.016592,1804200
6/26/2013,25.865,25.870001,25.195,25.209999,22.670376,1550400
6/27/2013,25.440001,26.065001,25.26,26.045,23.421259,2371800
6/28/2013,26.025,26.450001,25.73,26,23.380793,13313200
7/1/2013,26.1,26.934999,26.040001,26.424999,23.76298,1919000
7/2/2013,26.445,26.535,25.92,25.975,23.358318,1999600
7/3/2013,25.645,26.15,25.58,25.91,23.299862,1149600
7/5/2013,26.25,26.290001,25.855,26.139999,23.506689,612400
7/8/2013,26.200001,26.4,25.950001,25.975,23.358318,1879200
7/9/2013,26.299999,28.530001,26.299999,27.965,25.14784,3974800
7/10/2013,27.815001,28.969999,27.575001,28.77,25.87175,3138000
7/11/2013,29.285,29.834999,28.75,29.780001,26.780008,3050800
7/12/2013,29.99,31.09,29.915001,30.535,27.458948,3161600
7/15/2013,30.559999,30.790001,30.25,30.535,27.458948,1500600
7/16/2013,30.645,30.950001,29.965,30.08,27.04978,1607200
7/17/2013,30.1,30.98,30.045,30.855,27.7467,1951800
7/18/2013,30.875,31.48,30.73,30.934999,27.818645,1944600
7/19/2013,30.5,31.02,30.389999,30.625,27.539877,1276600
7/22/2013,30.75,31.110001,30.49,31.08,27.949045,1238600
7/23/2013,31.334999,31.385,30.530001,31,27.8771,1303400
7/24/2013,31.200001,31.475,30.559999,30.58,27.499407,1393600
7/25/2013,30.6,30.924999,29.334999,30.184999,27.144205,2119000
7/26/2013,29.969999,31.385,29.809999,31.290001,28.13789,1372600
7/29/2013,31.110001,31.235001,29.73,29.775,26.775507,2285800
7/30/2013,29.969999,30.34,29.525,30.139999,27.103739,1393000
7/31/2013,30.4,30.945,30.15,30.584999,27.503904,1390600
8/1/2013,30.754999,31.625,30.719999,31.209999,28.065945,1562200
8/2/2013,31.035,31.594999,30.280001,31.559999,28.471912,1524200
8/5/2013,31.360001,31.73,30.805,31.02,27.984753,1844400
8/6/2013,31.014999,31.139999,29.975,30.385,27.411886,1890200
8/7/2013,30.35,30.674999,29.83,30.535,27.547211,1174200
8/8/2013,30.969999,31.165001,30.745001,30.959999,27.93062,1969600
8/9/2013,30.809999,30.959999,30.030001,30.094999,27.150267,1513000
8/12/2013,30,30.76,29.870001,30.305,27.339714,2186400
8/13/2013,30.455,30.475,28.26,29.34,26.469141,6106000
8/14/2013,29.24,29.615,28.535,29.280001,26.415009,2737800
8/15/2013,28.98,29.32,28.415001,28.955,26.121809,2129600
8/16/2013,28.940001,29.51,28.940001,29.245001,26.38343,1033600
8/19/2013,29.334999,29.34,28.66,28.695,25.887251,881000
8/20/2013,28.825001,29.469999,28.74,29.219999,26.360874,1255000
8/21/2013,29.205,29.514999,29.025,29.325001,26.455603,809000
8/22/2013,29.450001,30.135,29.440001,30.125,27.17733,834800
8/23/2013,30.18,30.530001,29.969999,30.5,27.515635,1415000
8/26/2013,30.504999,30.504999,30.08,30.16,27.2089,1288200
8/27/2013,29.674999,29.674999,28.190001,28.485001,25.697798,1876600
8/28/2013,28.450001,28.639999,28.1,28.415001,25.634645,1303200
8/29/2013,28.43,29.174999,28.280001,28.865,26.040615,1447200
8/30/2013,28.93,29.084999,28.235001,28.309999,25.539919,1393200
9/3/2013,28.84,29.15,28.035,28.245001,25.481283,1812000
9/4/2013,28.305,29.045,28.190001,28.985001,26.148872,1257800
9/5/2013,29.059999,29.639999,28.959999,28.98,26.14436,1095800
9/6/2013,28.995001,29.17,28.405001,28.690001,25.88274,788400
9/9/2013,28.860001,29.33,28.74,29.264999,26.401474,1095600
9/10/2013,29.735001,30.74,29.705,30.709999,27.70509,1997200
9/11/2013,30.549999,30.625,30.135,30.385,27.411886,736800
9/12/2013,30.285,30.565001,29.610001,29.65,26.748806,1120600
9/13/2013,29.82,30.264999,29.629999,30.17,27.217918,891200
9/16/2013,30.625,30.879999,30.315001,30.805,27.790794,1009600
9/17/2013,30.9,31.209999,30.745001,31.190001,28.138117,707600
9/18/2013,31.075001,31.34,30.85,31.305,28.241865,726600
9/19/2013,31.389999,31.52,31.09,31.290001,28.228333,866800
9/20/2013,31.360001,31.674999,31.045,31.059999,28.020842,1392200
9/23/2013,31.17,31.535,30.870001,31.4,28.327568,982000
9/24/2013,31.43,32.369999,31.43,31.870001,28.751585,1061600
9/25/2013,31.950001,32.044998,31.450001,31.715,28.61175,823400
9/26/2013,31.754999,32.244999,31.709999,32.105,28.963587,1031400
9/27/2013,31.754999,31.995001,31.385,31.795,28.683918,965600
9/30/2013,31.290001,31.51,31.02,31.309999,28.246374,1458800
10/1/2013,31.43,32.855,31.215,32.625,29.432714,2363400
10/2/2013,32.605,32.705002,32.130001,32.450001,29.274828,841400
10/3/2013,32.424999,32.529999,31.76,32.400002,29.229727,995400
